spark.executor.cores,spark.executor.instances,spark.scheduler.revive.interval,spark.executor.memoryOverhead,runtime
3.0,7.0,551.0,582.0,188.2823486328125
4.0,7.0,757.0,628.0,182.8568115234375
4.0,7.0,683.0,584.0,180.35922241210938
4.0,7.0,682.0,572.0,180.35922241210938
4.0,7.0,729.0,590.0,180.35922241210938
4.0,8.0,555.0,570.0,180.35922241210938
4.0,4.0,672.0,590.0,180.35922241210938
4.0,5.0,552.0,569.0,180.35922241210938
4.0,5.0,660.0,569.0,180.35922241210938
4.0,6.0,524.0,570.0,180.35922241210938
