spark.default.parallelism,spark.kryoserializer.buffer.max,spark.maxRemoteBlockSizeFetchToMem,runtime
307.0,36.0,1999483126.0,231.5594516628031
277.0,76.0,1816641536.0,229.36305585859913
213.0,89.0,1817327622.0,230.19176519346888
291.0,34.0,1816274294.0,223.1908005126438
306.0,33.0,1851384173.0,221.40362824517757
312.0,58.0,1816539095.0,221.9766316927822
339.0,102.0,1781887471.0,228.12159041215278
260.0,51.0,1782970814.0,226.27468213156592
228.0,55.0,1817570590.0,225.9854880393794
346.0,52.0,1781801738.0,222.17698899384052
