spark.executor.memory,spark.broadcast.compress,spark.executor.instances,spark.default.parallelism,spark.kryoserializer.buffer,runtime
7.0,1.0,4.0,226.0,107.0,254.94876098632812
4.0,0.0,4.0,488.0,67.0,254.94876098632812
6.0,0.0,4.0,417.0,85.0,254.94876098632812
5.0,0.0,4.0,315.0,77.0,254.94876098632812
6.0,1.0,4.0,265.0,67.0,254.94876098632812
6.0,1.0,4.0,267.0,107.0,254.94876098632812
4.0,1.0,4.0,415.0,117.0,254.94876098632812
6.0,1.0,4.0,292.0,87.0,254.94876098632812
6.0,0.0,4.0,371.0,81.0,254.94876098632812
5.0,1.0,4.0,482.0,94.0,254.94876098632812
